Keyword Stats 2025-01-27 at 12_05_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - December 31, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024
ip cctv camera outdoor,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,10,10,10,0,0,0,10,10,0,10,10,10,10,10,10,0,0,10,0
ethernet ip camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0
30 cameras,AED,10,-100%,0%,Unknown,,,,,,,,,10,10,0,0,0,0,10,0,10,0,10,0,10,10,10,10,0,0,0,10,0,10,0,0
rotating cctv camera,AED,10,0%,0%,High,100,11.21,89.42,10%,,,,,10,10,20,10,10,20,10,10,20,10,10,10,10,10,20,10,10,10,30,10,10,10,10,10
find ip camera on network,AED,10,∞,0%,Low,0,,,,,,,,10,0,10,10,10,0,10,10,0,10,10,10,0,10,10,10,0,0,10,0,10,0,10,10
unv security system,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,0
new cctv camera,AED,10,0%,0%,Medium,42,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10
cctv viewing software,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,10,10,0,0,0,0,10,0,0,0,0,0,10,0,10,10,0,0,0
home security cameras made in usa,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nvr ip,AED,10,0%,0%,High,100,,,,,,,,0,10,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,0,10
unv camera price list,AED,10,0%,0%,High,100,16.12,93.18,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,30,10
standalone cctv camera,AED,10,0%,∞,High,100,,,,,,,,0,10,0,10,10,10,10,10,10,10,10,0,10,10,10,0,0,0,10,10,10,10,0,10
wifi camera software,AED,10,0%,∞,Low,0,,,,,,,,10,10,0,10,0,10,0,10,10,0,0,0,10,10,10,10,10,0,0,10,10,10,10,10
ptz outdoor camera system,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip camera streaming software,AED,10,∞,∞,High,86,,,,,,,,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10
cctv systems with audio,AED,40,-25%,50%,High,100,14.65,109.48,,,,,,20,30,40,20,40,40,50,30,30,40,50,20,30,40,40,30,40,40,50,30,40,40,40,30
axis cameras canada,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poe cctv camera kit,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
best cctv camera company,AED,10,0%,0%,Medium,50,,,,,,,,10,0,10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10
wired ip security camera system,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v cctv,AED,10,0%,0%,Medium,57,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10
cctv camera vendors,AED,10,∞,0%,High,81,,,,,,,,10,0,10,10,10,0,10,0,0,0,0,10,10,10,10,0,0,0,10,10,10,0,0,10
dome cctv,AED,90,-22%,40%,High,100,17.24,187.76,,,,,,70,110,70,50,70,70,70,90,90,70,70,50,90,110,70,90,70,90,90,90,90,90,70,70
high quality cctv,AED,10,∞,0%,High,100,,,,,,,,10,10,10,10,0,0,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10
uniview technologies,AED,10,0%,0%,Low,7,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
security camera for home with recording,AED,10,0%,0%,High,100,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10
ip camera viewer for pc,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,0,10,10,0,0,0,10,10,10,0,0,10,10,10,10,0,0,0
ip camera server software,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0
security camera high resolution,AED,10,-50%,0%,High,100,31.31,121.34,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,20,20,10,10,10,10,20,10,10
wireless bullet camera,AED,10,∞,0%,High,100,,,,,,,,10,10,10,10,10,10,10,0,10,0,0,10,10,0,10,10,10,0,10,0,0,0,10,10
camera server software,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,10,10,0,10,10,0,0,0,10,0,0,10,0,0,10,0,0,0,0
security camera system nvr,AED,10,∞,∞,High,100,,,,,,,,10,10,0,0,0,10,10,10,0,0,10,0,0,10,10,10,10,10,10,10,10,0,0,10
ip camera live,AED,10,100%,100%,High,100,,,,,,,,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,20
best ip camera viewer,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0
wifi camera installation,AED,10,0%,0%,High,94,,,,,,,,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10
high security camera system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
camera ip 5mp,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
uniview usa,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0
ip camera p05,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniview software,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
top rated poe security cameras,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black poe camera,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buy ip camera,AED,10,-100%,0%,Unknown,,,,,,,,,10,0,0,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,0,0,10,10,10,0
security camera management software,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
security camera system software,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
univision cameras,AED,10,0%,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,10,0,0,10,10,10
unv ptz,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,0,10
ip based camera,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,0,10,0,10,10,10,10,0,0,10,10,10,0,10,10,10,10,10,0
best onvif nvr,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,10,0,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
onvif cloud,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cctv camera software for pc,AED,10,0%,0%,Low,7,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera viewing software,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best poe surveillance system,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axis camera price,AED,20,-50%,100%,High,100,,,,,,,,10,10,10,20,10,10,10,10,20,20,20,10,20,20,30,10,20,10,10,20,20,40,20,20
cheap nvr camera system,AED,10,0%,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,0,10,0,10
online surveillance camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ip camera and nvr system,AED,10,0%,0%,High,81,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
analog security system,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip poe security camera system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ethernet cctv system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
nvr camera system price,AED,10,0%,0%,High,93,,,,,,,,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,0,10,10,10,20,10
cctv camera system near me,AED,10,0%,∞,Low,19,,,,,,,,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,10,0,10
security camera buy,AED,10,0%,0%,High,86,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
kamera internet,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axis network cameras,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10
uniview access control,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,10,10,10,0,0,0,10,10,0,0,0,10,10,10,10,0,0,0
wireless cctv cameras for sale,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0
cctv camera cheap,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10
cisco ip camera,AED,10,-100%,-100%,Unknown,,,,,,,,,0,10,10,10,10,10,0,10,0,10,10,10,0,10,0,10,10,0,0,10,10,10,10,0
uniview ptz camera,AED,10,0%,∞,High,100,,,,,,,,0,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,0,10,0,0,10,10,10,10
cctv camera store,AED,70,-29%,0%,High,94,59.85,272.02,2%,,,,,140,70,70,40,110,70,50,70,70,70,90,50,70,70,90,70,50,70,50,90,70,70,90,50
ip surveillance software,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,20,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
wired ptz camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,10,0,0,0,10,0,10,0,0,10,10,0,0,0,0,0,0,0
cheap poe camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0
cctv camera for store,AED,70,-29%,0%,High,94,59.85,272.02,2%,,,,,140,70,70,40,110,70,50,70,70,70,90,50,70,70,90,70,50,70,50,90,70,70,90,50
latest cctv camera for home,AED,10,0%,0%,High,100,,,,,,,,0,10,0,0,0,10,0,10,0,0,0,10,10,10,10,20,10,10,10,0,0,10,0,10
best software for security cameras,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buy security camera online,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
security camera system price,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,10,10,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0
security camera for home price,AED,10,0%,0%,High,80,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
unv security camera system,AED,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,10,0,0
wireless cctv camera types,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,20,30,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
ir network camera,AED,10,0%,0%,Medium,63,,,,,,,,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10
best cctv brand,AED,10,0%,0%,High,100,68.06,140.58,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,10,10,30,10,10,10,10,20,10,10,20,10
cctv with recording,AED,10,-50%,0%,High,100,14.65,164.28,,,,,,10,10,10,10,10,10,10,20,10,20,20,10,10,20,20,10,10,10,10,20,10,20,20,10
audio video camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
home camera with recording,AED,10,0%,0%,High,100,17.24,136.36,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
best home poe security camera system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
shop cctv camera system,AED,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
uniview 180 degree camera,AED,10,∞,0%,High,100,,,,,,,,10,0,0,10,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,10
cctv poe camera system,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0
uniview camera nz,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best cctv company,AED,10,0%,∞,Low,14,,,,,,,,10,10,10,10,10,0,10,10,0,10,10,0,0,10,10,0,10,10,10,10,10,10,10,10
270 degree camera,AED,10,-100%,-100%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,10,0,10,10,10,10,0,10,10,0,0,0,0,10,10,0
outdoor network camera,AED,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,10,0
black dome security camera,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,10,0,0,10,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0
nvr video,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0
black ip camera,AED,10,∞,∞,Low,14,,,,,,,,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10
ip poe kamera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axis video camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0
360 degree ip camera,AED,10,0%,0%,High,100,13.79,26.72,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,20,30,20,10,20,10,10,10,10,10,20,10
onvif poe camera,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,10,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0
cctv made in usa,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,0,0
unv camera distributor,AED,10,0%,0%,Unknown,,,,,,,Y,,10,10,10,0,10,0,10,10,0,0,10,0,0,0,0,10,10,0,10,0,0,0,10,0
uni camera,AED,590,0%,0%,High,100,11.46,122.41,2%,,,,,590,590,590,480,590,590,720,590,590,590,590,590,590,590,590,480,590,590,880,590,590,590,720,590
cctv tech,AED,10,-67%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,20,20,10,10,10,10,30,10,10
outdoor ip camera system,AED,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniview technology,AED,10,0%,0%,Low,7,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
internet cctv camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10
uniview 8mp camera,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,10,0
ptz surveillance camera,AED,20,100%,100%,High,100,31.4,75.04,,,,,,10,10,20,10,30,20,10,10,10,30,30,10,10,30,20,30,30,20,30,20,20,10,40,20
cctv products,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10
high resolution ip camera,AED,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,10,10,10,10,0,10,10,10,10,10,10,0,10,10,0
wifi camera kit,AED,10,0%,∞,High,100,,,,,,,,0,10,10,0,0,0,10,10,10,10,10,0,0,0,10,10,10,0,10,0,0,10,10,10
starlight camera system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
camera cctv indoor,AED,40,0%,400%,High,100,14.65,126.5,,,,,,30,30,20,30,40,50,50,40,30,20,30,10,30,50,40,50,30,40,40,50,70,50,40,50
outdoor cctv cameras for sale,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security camera viewing software,AED,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,10,10,0,0,0,0,10,0,0,0,0,0,10,0,10,10,0,0,0
ip camera cable,AED,10,0%,0%,High,83,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10
5mp cctv system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
unv camera nz,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best poe camera system for home,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
good quality cctv camera,AED,10,0%,0%,High,100,67.83,150.91,,,,,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,20,10,10,10,10,10,10,10
ip video surveillance,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,10,0,0,0,10,10,10,10,0,10,0,0,10,0,10,10,0,10,10,0
ip surveillance,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
best poe cctv,AED,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0
cost of security camera,AED,10,0%,0%,High,74,17.5,124.14,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
dome wifi camera outdoor,AED,10,0%,0%,High,100,,,,,,,,10,10,10,0,10,0,10,10,0,10,10,10,0,10,10,0,0,0,10,0,0,10,10,10
unv cameras australia,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,0,0
poe dome camera system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0
mini ip cam,AED,20,0%,-50%,High,100,9.48,31.03,,,,,,20,10,30,20,10,50,30,20,40,20,50,20,20,10,20,20,10,10,70,10,10,10,20,10
wireless security cameras made in usa,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cctv software list,AED,10,0%,0%,Low,5,,,,,,,,10,10,10,10,10,20,10,10,10,20,10,10,20,20,10,20,10,10,20,10,10,10,10,10
best onvif camera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network security camera system,AED,10,0%,∞,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10
camaras unv,AED,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,10,0,10,0
ip ptz,AED,10,0%,0%,High,100,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10
onvif compliant ip cameras,AED,10,-100%,0%,Unknown,,,,,,,,,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0
wifi for camera system,AED,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lan camera system,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,0,10,0,0,10,0,10,10,10,0,10,0,0,10,10,10,10,10,10,10,0
4mp cctv camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10
smart hd ip camera,AED,10,-100%,0%,Unknown,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,10,0,0
nvr wifi camera,AED,10,0%,∞,High,100,,,,,,,,10,0,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10,10,10,10,0,10,10,10
cctv hd,AED,10,0%,0%,High,100,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
ip camera amazon,AED,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,0
high security camera,AED,10,0%,∞,High,100,,,,,,,,0,0,10,10,0,10,10,10,10,0,0,0,0,10,10,10,0,10,10,10,10,10,10,10
ip ptz dome camera,AED,10,0%,0%,Unknown,,,,,,,,,10,0,10,0,0,0,10,0,0,10,10,0,10,10,0,0,10,0,10,10,0,0,10,0
digital cctv camera price,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,0,10,0,10,0,0,10,10,10,0,10,0,0,10,10,0,0,10,10,10,0
best surveillance camera software,AED,10,0%,0%,Unknown,,,,,,,,,10,10,10,0,0,10,10,10,0,10,0,0,10,10,10,0,0,10,10,0,10,0,0,0
axis webcam,AED,260,-19%,0%,High,100,12.07,121.74,,,,,,260,320,260,210,260,260,260,260,260,320,320,260,320,260,260,260,320,260,390,320,320,320,320,260
180 degree ip camera,AED,10,∞,∞,High,100,,,,,,,,10,10,0,0,10,0,0,0,10,0,10,0,10,10,10,0,0,10,0,0,0,0,10,10
24 camera cctv system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0
camera dome outdoor,AED,10,-50%,-50%,High,100,,,,,,,,10,10,10,10,20,20,20,10,10,20,10,20,10,20,10,10,10,10,20,20,20,20,20,10
poe camera software,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
indoor cctv camera price,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,10,10,0,10,10,10,0,0,10,0,10,0,10,0,0,0,0,0,0,10,0,0
ip68 camera,AED,10,0%,0%,Unknown,,,,,,,,,10,10,10,10,10,10,0,10,10,0,10,0,0,10,0,10,10,10,10,10,0,0,10,0
poe security camera kit,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
webcam cloud storage,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cctv camera india,AED,20,0%,100%,High,100,1.71,5.17,,,,,,20,20,20,10,20,20,20,20,20,30,30,10,10,50,40,30,20,30,10,40,20,20,20,20
ipc kamera,AED,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptz nvr system,AED,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip camera dvr system,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0
network cctv camera,AED,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,20,10,10,10,10,10
cctv camera for shop with recording,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0
camera ip 4mp,AED,10,-33%,100%,High,100,12.07,94.83,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,20,10,10,20,20,30,20,20
ip camera installation and configuration,AED,10,0%,-50%,Medium,40,,,,,,,,20,10,10,10,20,10,20,20,30,20,10,20,20,20,10,10,30,10,20,10,10,10,10,10
ip camera installation cost,AED,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,10,10,0
cctv login,AED,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
cctv camera types and price,AED,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,0,10,0,10,10,10,10,10,0,0,0,0,0,0,10,10,0,10,0,0
dome cctv camera kit,AED,10,∞,∞,Low,0,,,,,,,,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
